stage,weight_n,mass_kg,drag_scale,linear_drag,cda,free_steps,periods_total,periods_free,final_vx,final_vy,final_vz,final_speed,last_mean_vx,last_mean_vy,last_mean_vz,prev_mean_vz,last2_mean_vx,last2_mean_vy,last2_mean_vz,prev2_mean_vz,dvz_last_period,dvz_last2_periods,last_mean_alpha,dalpha_last_period,last_mean_pitch,pitch_span,score
refined,0.04,0.004078864851911714,0.875,0.002625,0.00175,192,12.0,8.0,-9.484098264648506e-15,2.626280036324947,0.3670923976406882,2.651811391785727,-5.5244780799840766e-15,2.6233908607687177,0.4895522163170967,0.49130530735736677,-4.0694612687227966e-15,2.620737220716618,0.49042876183723183,0.4961408945305139,-0.0017530910402700495,-0.005712132693282079,15.623911313288056,-0.058948663256657596,5.0,1.7763568394002505e-15,0.4947128613571934
refined,0.04,0.004078864851911714,1.25,0.00375,0.0025,192,12.0,8.0,6.48323097986007e-14,2.2329997003202973,0.4724242499769926,2.282426851751631,5.0616912260001654e-14,2.2274376471887725,0.5710644463846468,0.5704245527112306,3.9748586694879226e-14,2.2283662525747854,0.5707444995479387,0.568263931477693,0.0006398936734162142,0.002480568070245659,19.445695189535567,0.027421891955402344,5.0,8.881784197001252e-16,0.5726049256006229
refined,0.055,0.0056084391713786055,0.25,0.00075,0.0005,192,12.0,8.0,-1.7078320540141172e-14,3.996244833981641,0.259919824091652,4.004688638094201,-1.6420861744408698e-14,3.954868300126027,0.4388174216138421,0.46915416212492067,-1.3112948419187273e-14,3.902581825925522,0.4539857918693817,0.5326034616982703,-0.030336740511078597,-0.07861766982888863,11.358019665938167,-0.6206345780798301,5.0,2.6645352591003757e-15,0.5129490442410481
refined,0.055,0.0056084391713786055,0.5,0.0015,0.001,192,12.0,8.0,-1.0429336468606112e-13,3.449893307778548,0.41002377013160146,3.4741737617925996,-7.555343606840386e-14,3.426276476898982,0.5551939493127652,0.5730095349430798,-5.2777814657365144e-14,3.3998818047697097,0.5641017421279225,0.6137056244489285,-0.0178155856303146,-0.04960388232100599,14.232665413078111,-0.4395053958033337,5.0,2.6645352591003757e-15,0.601304653868677
refined,0.055,0.0056084391713786055,0.875,0.002625,0.00175,192,12.0,8.0,-1.0938447495887732e-13,2.8934317697465195,0.5654193447201564,2.948159839893734,-7.92176890083505e-14,2.878191077385406,0.6799070639958901,0.687521449346221,-5.735607541693229e-14,2.8688118013813195,0.6837142566710556,0.706925830002569,-0.007614385350330877,-0.02321157333151347,18.32434301829963,-0.23045387593667854,5.0,2.6645352591003757e-15,0.7011229366696907
refined,0.055,0.0056084391713786055,1.25,0.00375,0.0025,192,12.0,8.0,-1.408985936124412e-14,2.511843796066332,0.6684618621080839,2.5992692274810487,-9.174352074456685e-15,2.497358102069968,0.7640829850347769,0.766936714235188,-5.200204904455193e-15,2.494283906164959,0.7655098496349825,0.7744115002000144,-0.002853729200411159,-0.008901650565031893,22.050263802154735,-0.10047064718424537,5.0,1.7763568394002505e-15,0.7721860875587564
refined,0.07,0.007138013490845499,0.25,0.00075,0.0005,192,12.0,8.0,3.2727816909339843e-14,4.1367357062693815,0.46568614130742725,4.162865105396744,2.798240554977444e-14,4.081190463454154,0.6255329864071542,0.6682527865196066,2.3420585776531976e-14,4.019925698324253,0.6468928864633805,0.7570050845142583,-0.042719800112452466,-0.1101121980508778,13.735284074806218,-0.8726105007832299,5.0,1.7763568394002505e-15,0.7294770350015388
refined,0.07,0.007138013490845499,0.5,0.0015,0.001,192,12.0,8.0,-2.1822649932868047e-13,3.661499214343774,0.5971552269397636,3.7098747770917493,-1.5293144474991357e-13,3.6241994070083083,0.7316553853982045,0.7610940108226111,-1.0963884863435492e-13,3.587217126022947,0.7463746981104076,0.8257357055960738,-0.02943862542440656,-0.07936100748566621,16.435304052415507,-0.6904176411797067,5.0,2.6645352591003757e-15,0.8058954537246572
refined,0.07,0.007138013490845499,0.875,0.002625,0.00175,192,12.0,8.0,5.491243325271993e-14,3.1440657158703433,0.7411420313851781,3.2302384952812764,3.583703226663559e-14,3.1185339366613896,0.8507458643286729,0.8676544609781732,2.429466475978252e-14,3.1004043561329673,0.8592001626534232,0.9069777070104693,-0.016908596649500285,-0.047777544357046065,20.28284122995441,-0.46552461540600376,5.000000000000001,2.6645352591003757e-15,0.8950333209212078
refined,0.07,0.007138013490845499,1.25,0.00375,0.0025,192,12.0,8.0,-2.5396877973689158e-14,2.7687860269333004,0.8417323443723306,2.893905562125971,-1.9634489476957663e-14,2.7469928949448192,0.9351080856461982,0.944821514830897,-1.5073981303685882e-14,2.7376171456203147,0.9399648002385471,0.9676065563530906,-0.009713429184698863,-0.027641756114543448,23.825130091522272,-0.3043459663818098,5.0,2.6645352591003757e-15,0.9606961173244547
