stage,weight_n,mass_kg,drag_scale,linear_drag,cda,free_steps,periods_total,periods_free,final_vx,final_vy,final_vz,final_speed,last_mean_vx,last_mean_vy,last_mean_vz,prev_mean_vz,last2_mean_vx,last2_mean_vy,last2_mean_vz,prev2_mean_vz,dvz_last_period,dvz_last2_periods,last_mean_alpha,dalpha_last_period,last_mean_pitch,pitch_span,score
coarse,0.1,0.010197162129779284,1.5,0.0045000000000000005,0.003,192,12.0,8.0,-9.864810700140344e-14,3.0095602615618278,1.1998930232686984,3.2399376900275403,-7.060246893472199e-14,2.975481821166339,1.2858102852138333,1.3101007347497982,-5.046706144834591e-14,2.9538769350532115,1.2979555099818156,1.3535957959840437,-0.02429044953596482,-0.055640286002228034,28.387253867429298,-0.7065061570249007,5.0,2.6645352591003757e-15,1.3396857244834868
coarse,0.1,0.010197162129779284,2.0,0.006,0.004,192,12.0,8.0,-2.782745560267715e-14,2.670994661578945,1.2726558601684974,2.958693194740617,-2.3022466042112355e-14,2.640486190753514,1.3472323460193687,1.362990152213033,-1.850197315673253e-14,2.626115755915413,1.3551112491162007,1.3876174951356441,-0.015757806193664292,-0.03250624601944341,32.04801588123842,-0.5292154702816276,5.0,2.6645352591003757e-15,1.3794909336307832
coarse,0.1,0.010197162129779284,3.0,0.009000000000000001,0.006,192,12.0,8.0,-4.7169152956638674e-14,2.174149990863451,1.3506387439509122,2.5595220646505163,-3.200248981264799e-14,2.1459560455470563,1.4099702177963076,1.4164475046586054,-2.110468745374333e-14,2.138362042296079,1.4132088612274563,1.4192558196496237,-0.00647728686229776,-0.006046958422167403,38.32129478677776,-0.30929551757286333,5.0,2.6645352591003757e-15,1.417744080044082
coarse,0.13,0.01325631076871307,0.5,0.0015,0.001,192,12.0,8.0,1.887539709867848e-13,4.373390643025294,1.2435891387150524,4.546763647082531,1.2357761164362484e-13,4.286576899607701,1.3712793751052432,1.4597057666535038,8.143750271786335e-14,4.1980408298518705,1.4154925708793737,1.5994804245440177,-0.0884263915482606,-0.18398785366464399,22.755143145129665,-1.821956944348134,5.0,1.7763568394002505e-15,1.5534834611278567
coarse,0.13,0.01325631076871307,1.0,0.003,0.002,192,12.0,8.0,6.59707276643458e-14,3.8068100483164145,1.3841001445625645,4.050621675019889,4.183426913487353e-14,3.743709970506741,1.4892837744441565,1.5518276843365724,3.621466848171379e-14,3.68440202885105,1.5205557293903647,1.6471195505346266,-0.06254390989241587,-0.1265638211442619,26.707264832356866,-1.486611870004598,5.0,2.6645352591003757e-15,1.615478595248561
coarse,0.13,0.01325631076871307,1.5,0.0045000000000000005,0.003,192,12.0,8.0,7.881783842992861e-16,3.370560447701883,1.4827248455928914,3.6822752069000466,2.2005605399715177e-15,3.3202975969210744,1.5720993341919842,1.6164519514858655,2.8553805086017004e-15,3.278497004340414,1.5942756428389246,1.679071058394652,-0.04435261729388129,-0.08479541555572734,30.34982911940747,-1.2054422520930537,5.0,1.7763568394002505e-15,1.6578722045057201
coarse,0.13,0.01325631076871307,2.0,0.006,0.004,192,12.0,8.0,5.867973389229028e-14,3.021422101800193,1.5512223644346899,3.3963631050241148,3.3379157287256926e-14,2.978508902697437,1.6289468204812667,1.6603231907223337,2.5680153301474054e-14,2.9477878395315327,1.6446350056018009,1.698836635637906,-0.031376370241066986,-0.05420163003610523,33.68657333193548,-0.9763472219188714,5.0,1.7763568394002505e-15,1.6852862281288798
coarse,0.13,0.01325631076871307,3.0,0.009000000000000001,0.006,192,12.0,8.0,-3.576786257803183e-15,2.491619184025475,1.6272680491062963,2.9759313604056774,1.2406050985396595e-15,2.4560398304349715,1.6889556784682849,1.704169487951684,2.2635515204461142e-15,2.4378083836451006,1.6965625832099842,1.7117872394334155,-0.015213809483399121,-0.015224656223431277,39.52573730112371,-0.6447423259195091,5.0,2.6645352591003757e-15,1.7079810753775577
coarse,0.16,0.016315459407646855,0.5,0.0015,0.001,192,12.0,8.0,-1.3264492339733927e-13,4.633543369841248,1.5472224847729916,4.885040591191325,-9.247016701685219e-14,4.521668291932895,1.6781989428515323,1.7901205727708713,-6.585062071052213e-14,4.405369376078359,1.7341597578112016,1.9355154983410403,-0.11192162991933907,-0.20135574052983873,25.37850125906488,-2.2990032758381247,5.0,1.7763568394002505e-15,1.8851765632085806
coarse,0.16,0.016315459407646855,1.0,0.003,0.002,192,12.0,8.0,-2.632786420497708e-13,4.095229648316287,1.6677042527037846,4.421780562955949,-1.6404593337577104e-13,4.009949636525626,1.7771129038257303,1.8600157382068565,-1.0872973582773723e-13,3.9249491965578276,1.8185643210162932,1.9608067003611032,-0.08290283438112622,-0.14224237934481,28.91583692896964,-1.9488938046429602,5.0,2.6645352591003757e-15,1.9252461055249006
